responseid,imp_accept,other_accept,self_accept,r10panelpad,opinion_ban,opinion_strength,video_mobile,video_ended,video_error,video_paused,video_played,video_timespent,video_report,r10pad4_comment,fairness,accept,trust,check_outcome,check_politician,r10pad1_9_backward_1,r10pad1_9_backward_2,r10pad1_9_backward_3,r10pad1_9_backward_4,r10pad1_9_backward_5,r10pad1_9_backward_6,r10pad1_9_backward_7,r10pad1_9_backward_8,video,treatment,favorability,mcheck_favorability,imp_accept2,other_accept2,self_accept2,opinion_strength2
1000579,4,4,5,1,Pro,4,0,1,NA,NA,1,117,1,,4,4,4,1,2,NA,NA,1,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Important
1000580,4,4,4,1,Pro,3,0,1,NA,1,1,119,1,,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1000642,1,4,3,1,Pro,4,0,1,NA,2,2,115,1,,5,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,High degree,Low degree,Important
1000644,4,3,3,1,Pro,3,1,NA,NA,NA,NA,87,1,,3,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,Low degree,Not important
1000660,4,4,4,1,Pro,2,0,1,NA,NA,1,120,1,,5,5,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Not important
1000696,4,2,4,1,Pro,3,1,NA,NA,NA,NA,88,1,,3,4,4,1,2,1,1,1,1,1,1,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,High degree,Not important
1000697,3,4,4,1,Pro,2,1,NA,NA,NA,NA,101,1,,5,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Not important,High degree,High degree,Not important
1000703,4,2,4,1,Pro,3,1,NA,NA,NA,NA,115,1,,5,5,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1000724,4,3,3,1,Pro,2,0,1,NA,1,1,99,1,,5,5,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,Low degree,Not important
1000733,4,3,3,1,Pro,4,0,1,NA,1,1,122,1,,4,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,Low degree,Important
1000745,4,3,3,1,Pro,2,1,NA,NA,NA,NA,105,1,,2,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,Low degree,Low degree,Not important
1000765,4,4,3,1,Pro,3,0,1,NA,1,1,115,1,,4,4,3,2,1,NA,1,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,Low degree,Not important
1000814,4,4,4,1,Pro,3,0,1,NA,1,1,87,1,,5,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Not important
1000827,4,3,4,1,Pro,2,0,1,NA,1,1,101,1,,4,5,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,High degree,Not important
1000836,4,4,5,1,Pro,4,0,1,NA,1,1,120,3,,4,5,4,2,2,NA,1,1,1,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Important
1000840,4,4,4,1,Pro,3,1,NA,NA,NA,NA,101,3,,4,5,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1000841,5,3,3,1,Pro,5,0,1,NA,1,1,144,1,,4,NA,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,Low degree,Important
1000855,4,4,4,1,Pro,3,0,1,NA,1,1,106,1,,4,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,High degree,High degree,Not important
1000865,4,4,5,1,Pro,4,0,1,NA,1,1,107,1,,4,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Important
1000904,4,3,4,1,Pro,2,1,NA,NA,NA,NA,106,1,,3,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1000910,4,4,4,1,Pro,4,1,NA,NA,NA,NA,103,1,,5,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Important
1000931,3,4,4,1,Pro,2,0,1,NA,1,1,106,1,,5,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,High degree,High degree,Not important
1000941,4,4,4,1,Pro,4,0,1,NA,NA,1,129,1,,5,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Important
1000943,4,NA,5,1,Pro,2,0,1,NA,1,1,117,1,,5,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,NA,High degree,Not important
1000944,3,3,3,1,Pro,5,0,1,NA,1,1,116,1,,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,Low degree,Low degree,Important
1000956,5,4,4,1,Pro,3,0,NA,NA,NA,NA,112,1,,3,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Not important
1000972,3,3,3,1,Pro,3,0,1,NA,3,3,71,1,,4,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,Low degree,Low degree,Not important
1000976,4,3,4,1,Pro,3,0,1,NA,1,1,113,1,,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1000980,2,3,3,1,Pro,2,1,NA,NA,NA,NA,131,1,,4,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,Low degree,Low degree,Not important
1001000,4,3,3,1,Pro,4,0,1,NA,1,1,101,1,,3,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,Low degree,Low degree,Important
1001002,4,4,4,1,Pro,3,0,1,NA,1,1,106,1,,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Not important
1001064,4,4,4,1,Pro,NA,1,NA,NA,NA,NA,95,1,,5,5,5,1,2,1,1,1,1,1,1,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,NA
1001086,4,3,4,1,Pro,3,1,NA,NA,NA,NA,96,1,,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,Low degree,High degree,Not important
1001111,NA,NA,NA,1,Pro,1,0,2,NA,4,4,255,1,,4,4,3,2,1,1,1,1,1,1,1,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,NA,NA,NA,Not important
1001135,3,4,4,1,Pro,3,1,NA,NA,NA,NA,95,1,,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,High degree,High degree,Not important
1001161,5,2,4,1,Pro,3,0,1,NA,1,1,161,1,,4,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,High degree,Not important
1001175,4,3,4,1,Pro,2,0,1,NA,2,2,116,1,,5,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1001204,4,3,4,1,Pro,2,0,1,NA,NA,1,113,1,,4,5,4,2,1,NA,1,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1001225,2,3,2,1,Pro,3,0,1,NA,1,6,112,3,,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,Low degree,Low degree,Not important
1001258,5,5,4,1,Pro,3,0,1,NA,1,1,121,1,,5,5,4,2,1,1,1,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1001261,4,4,4,1,Pro,3,0,1,NA,1,1,110,1,,4,4,3,2,1,NA,NA,1,1,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1001270,4,4,4,1,Pro,3,0,1,NA,1,1,109,1,,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1001315,4,4,4,1,Pro,2,0,1,NA,1,1,160,1,,4,5,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,High degree,High degree,Not important
1001350,4,5,4,1,Pro,4,0,1,NA,4,5,99,3,,4,5,4,2,1,1,1,1,1,1,1,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,High degree,High degree,Important
1001365,3,3,3,1,Pro,4,0,1,NA,1,1,114,1,,4,2,3,2,1,NA,NA,NA,NA,NA,NA,1,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,Low degree,Low degree,Important
