"","responseid","r9pad1","r9pad2","r9pad3","r10panelpad","r10pad1","r10pad2","r10pad3_mobil","r10pad3a_ran","r10pad3b_ran","r10pad3ended","r10pad3error","r10pad3paused","r10pad3played","r10pad3_timespent","r10pad4","r10pad4_comment","r10pad5","r10pad6","r10pad7","r10pad8","r10pad9","r10pad1_9_backward_1","r10pad1_9_backward_2","r10pad1_9_backward_3","r10pad1_9_backward_4","r10pad1_9_backward_5","r10pad1_9_backward_6","r10pad1_9_backward_7","r10pad1_9_backward_8"
"65",1000064,2,3,2,1,2,97,0,NA,3,NA,NA,NA,1,39,1,"",3,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"66",1000065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1000066,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1000067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1000068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",1000069,NA,NA,NA,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"71",1000070,NA,NA,NA,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"72",1000071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1000072,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1000073,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1000074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1000075,3,2,3,1,2,4,0,NA,2,1,NA,1,1,106,1,"",2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"77",1000076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1000077,98,98,98,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"79",1000078,3,3,4,1,2,3,0,NA,2,1,NA,1,1,113,1,"",4,4,5,2,2,NA,NA,1,NA,NA,NA,NA,NA
"80",1000079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1000080,2,4,3,1,2,5,1,NA,1,NA,NA,NA,NA,93,1,"",2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"82",1000081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1000082,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1000083,2,2,2,1,2,2,1,NA,5,NA,NA,NA,NA,69,1,"",3,3,3,4,97,NA,NA,NA,NA,NA,NA,1,NA
"85",1000084,1,2,2,1,1,4,0,1,NA,1,NA,1,1,96,1,"",1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"86",1000085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1000086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1000087,98,98,98,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"89",1000088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
