"","Q64","Q63","S3_1_1","S3_2_1","S3_4_1_1","S3_4_1_2","S3_5_1","S3_6_1_1","S3_6_1_2","S3_7_1_1","S3_7_1_2","S3_8_1_1","S3_8_1_2","Studie3sel"
"188",50,2,1,6,3,NA,3,1,NA,1,NA,1,NA,2
"189",32,1,2,2,2,NA,4,4,NA,6,NA,7,NA,2
"190",73,1,2,7,1,NA,1,7,NA,7,NA,7,NA,2
"191",66,1,1,7,1,NA,1,1,NA,1,NA,1,NA,2
"192",78,1,1,1,1,NA,1,1,NA,1,NA,1,NA,2
"193",80,2,1,1,1,NA,1,1,NA,4,NA,1,NA,2
"194",45,2,1,1,3,NA,3,2,NA,5,NA,6,NA,2
"195",50,1,2,1,3,NA,3,3,NA,4,NA,4,NA,2
"196",65,2,2,3,5,NA,4,7,NA,7,NA,7,NA,2
"197",64,1,1,7,1,NA,1,1,NA,1,NA,1,NA,2
"198",63,2,1,6,1,NA,1,1,NA,1,NA,7,NA,2
"199",38,1,2,7,7,NA,7,7,NA,7,NA,7,NA,2
"200",75,2,2,6,5,NA,6,7,NA,7,NA,7,NA,2
"201",26,1,1,1,6,NA,5,2,NA,3,NA,6,NA,2
"202",41,2,2,5,6,NA,6,6,NA,7,NA,7,NA,2
"203",65,2,2,5,2,NA,5,5,NA,1,NA,5,NA,2
"204",81,2,2,4,4,NA,4,7,NA,7,NA,7,NA,2
"205",56,1,1,7,4,NA,4,4,NA,7,NA,7,NA,2
"206",56,2,2,2,6,NA,6,5,NA,6,NA,7,NA,2
"207",25,1,2,3,6,NA,5,7,NA,7,NA,7,NA,2
"208",50,2,2,4,2,NA,2,7,NA,7,NA,6,NA,2
"209",70,1,2,1,4,NA,1,3,NA,1,NA,6,NA,2
"210",63,1,1,4,4,NA,5,2,NA,2,NA,2,NA,2
"211",38,1,1,2,2,NA,2,1,NA,2,NA,7,NA,2
"212",73,1,1,5,5,NA,5,5,NA,2,NA,5,NA,2
"213",26,1,2,5,1,NA,1,1,NA,4,NA,6,NA,2
"214",62,2,1,3,2,NA,3,3,NA,3,NA,4,NA,2
"215",41,1,2,2,7,NA,4,6,NA,6,NA,6,NA,2
"216",55,1,2,2,7,NA,6,7,NA,7,NA,7,NA,2
"217",58,2,1,4,1,NA,1,1,NA,1,NA,4,NA,2
"218",39,2,2,2,5,NA,1,7,NA,7,NA,7,NA,2
"219",40,2,2,2,7,NA,7,4,NA,7,NA,7,NA,2
"220",69,1,2,6,5,NA,3,6,NA,5,NA,6,NA,2
"221",33,1,2,2,5,NA,4,6,NA,7,NA,5,NA,2
"222",49,1,2,2,6,NA,6,6,NA,7,NA,6,NA,2
"223",60,2,2,5,6,NA,5,5,NA,5,NA,6,NA,2
"224",78,2,2,4,4,NA,3,5,NA,5,NA,5,NA,2
"225",20,2,1,5,3,NA,3,2,NA,5,NA,5,NA,2
"226",65,1,2,6,5,NA,4,7,NA,7,NA,7,NA,2
"227",74,1,1,2,6,NA,6,2,NA,6,NA,7,NA,2
"228",71,1,1,3,1,NA,1,1,NA,7,NA,1,NA,2
"229",81,1,2,6,5,NA,5,6,NA,7,NA,7,NA,2
"230",85,1,1,4,7,NA,7,1,NA,1,NA,4,NA,2
"231",20,1,2,4,4,NA,4,4,NA,5,NA,5,NA,2
"232",56,2,2,4,4,NA,5,7,NA,7,NA,4,NA,2
"233",25,2,2,4,3,NA,4,3,NA,3,NA,4,NA,2
"234",33,2,1,5,1,NA,1,1,NA,1,NA,1,NA,2
"235",61,1,2,6,6,NA,6,6,NA,7,NA,7,NA,2
"236",52,1,2,4,7,NA,7,7,NA,7,NA,7,NA,2
"237",73,2,2,7,5,NA,5,6,NA,7,NA,7,NA,2
"238",39,2,1,5,6,NA,5,2,NA,5,NA,4,NA,2
"239",67,2,2,7,7,NA,7,7,NA,7,NA,7,NA,2
"240",63,1,1,5,7,NA,7,4,NA,7,NA,7,NA,2
"241",75,2,2,7,7,NA,7,7,NA,7,NA,7,NA,2
"242",22,1,2,7,7,NA,7,6,NA,7,NA,7,NA,2
"243",46,1,2,2,4,NA,4,4,NA,4,NA,4,NA,2
"244",56,1,2,6,7,NA,5,7,NA,7,NA,7,NA,2
"245",53,2,1,7,7,NA,7,1,NA,7,NA,7,NA,2
"246",65,2,1,3,6,NA,4,4,NA,4,NA,3,NA,2
"247",30,1,2,4,4,NA,4,4,NA,6,NA,7,NA,2
"248",62,1,1,2,6,NA,6,3,NA,5,NA,6,NA,2
"249",34,1,2,6,3,NA,2,7,NA,7,NA,5,NA,2
"250",68,2,2,6,3,NA,4,4,NA,6,NA,4,NA,2
"251",52,1,1,6,6,NA,6,7,NA,7,NA,7,NA,2
"252",43,2,1,4,6,NA,5,1,NA,3,NA,4,NA,2
"253",66,1,2,5,6,NA,5,5,NA,5,NA,6,NA,2
"254",71,1,2,5,7,NA,7,7,NA,7,NA,7,NA,2
"255",44,2,2,3,3,NA,4,4,NA,6,NA,6,NA,2
"256",62,1,1,4,6,NA,6,5,NA,7,NA,6,NA,2
"257",50,2,2,1,7,NA,7,4,NA,7,NA,7,NA,2
"258",62,2,1,3,3,NA,3,4,NA,3,NA,4,NA,2
"259",45,1,2,6,4,NA,3,1,NA,3,NA,1,NA,2
"260",62,2,2,7,5,NA,5,7,NA,7,NA,7,NA,2
"261",65,1,1,4,5,NA,5,3,NA,7,NA,6,NA,2
"262",36,2,1,2,4,NA,4,4,NA,4,NA,2,NA,2
"263",62,2,2,2,4,NA,2,4,NA,6,NA,6,NA,2
"264",74,2,1,7,7,NA,7,7,NA,7,NA,7,NA,2
"265",74,2,2,4,2,NA,2,2,NA,5,NA,5,NA,2
"266",25,1,2,3,5,NA,5,4,NA,6,NA,7,NA,2
"267",36,2,1,6,4,NA,4,1,NA,1,NA,1,NA,2
"268",62,2,2,5,4,NA,4,5,NA,7,NA,6,NA,2
"269",62,2,2,6,4,NA,5,6,NA,6,NA,6,NA,2
"270",82,1,1,4,2,NA,3,6,NA,6,NA,2,NA,2
"271",33,1,2,6,7,NA,7,2,NA,5,NA,7,NA,2
"272",47,2,2,5,6,NA,5,3,NA,6,NA,6,NA,2
"273",29,1,1,2,5,NA,5,2,NA,4,NA,6,NA,2
"274",36,2,1,3,3,NA,4,3,NA,2,NA,4,NA,2
"275",32,2,2,3,7,NA,7,4,NA,4,NA,7,NA,2
"276",31,2,1,6,6,NA,5,1,NA,4,NA,4,NA,2
"277",20,1,2,1,7,NA,5,5,NA,7,NA,7,NA,2
"278",22,2,1,4,1,NA,1,2,NA,2,NA,3,NA,2
"279",30,2,1,4,3,NA,4,3,NA,5,NA,6,NA,2
"280",75,2,2,5,4,NA,4,5,NA,6,NA,5,NA,2
"281",42,2,1,2,4,NA,4,4,NA,4,NA,4,NA,2
"282",36,2,2,4,4,NA,4,3,NA,3,NA,5,NA,2
"283",63,2,1,4,1,NA,1,1,NA,1,NA,1,NA,2
"284",69,1,2,4,5,NA,5,5,NA,5,NA,5,NA,2
"285",38,2,2,1,5,NA,5,4,NA,6,NA,7,NA,2
"286",71,2,1,4,3,NA,3,2,NA,3,NA,5,NA,2
"287",60,1,2,6,7,NA,4,5,NA,7,NA,4,NA,2
"288",70,2,2,2,5,NA,5,6,NA,6,NA,6,NA,2
"289",46,1,1,7,6,NA,6,1,NA,6,NA,3,NA,2
"290",83,1,1,5,7,NA,7,2,NA,4,NA,2,NA,2
"291",83,1,1,7,1,NA,7,7,NA,7,NA,7,NA,2
"292",81,1,2,5,4,NA,4,6,NA,7,NA,7,NA,2
