"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time","median"
"1357",1010009,2,3,2,5,5,1,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",133,88
"1358",1010016,1,3,2,2,3,1,1,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",98,88
"1359",1010023,1,1,2,3,4,2,2,1,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",29,88
"1360",1010027,1,3,1,1,5,2,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",71,88
"1361",1010030,2,3,2,2,1,2,1,1,3,2,98,2,98,3,98,3,"timeTracker2_R13PAD6B",98,88
"1362",1010034,2,3,2,2,1,2,1,1,3,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",145,88
"1363",1010039,1,2,2,2,6,2,2,2,3,1,2,98,1,98,2,98,"timeTracker2_R13PAD6A",220,88
"1364",1010043,1,3,2,4,3,1,1,1,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",66,88
"1365",1010060,1,3,2,3,1,2,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",128,88
"1366",1010065,1,3,2,3,7,2,1,1,2,1,1,98,4,98,1,98,"timeTracker2_R13PAD6A",92,88
"1367",1010067,1,1,2,5,1,2,2,2,1,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",71,88
"1368",1010077,1,3,1,4,6,2,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",90,88
"1369",1010079,2,4,2,5,7,2,1,1,1,2,98,5,98,5,98,5,"timeTracker2_R13PAD6B",125,88
"1370",1010083,2,3,2,3,6,1,2,2,2,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",125,88
"1371",1010106,1,2,2,2,5,1,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",77,88
"1372",1010108,1,4,2,2,2,2,2,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",158,88
"1373",1010119,2,3,2,3,6,2,2,2,3,1,3,98,2,98,2,98,"timeTracker2_R13PAD6A",178,88
"1374",1010120,1,4,2,4,2,1,1,2,2,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",80,88
"1375",1010126,1,4,2,3,3,1,2,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",127,88
"1376",1010127,1,3,2,3,4,1,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",84,88
