"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time"
"1122",1008140,1,2,2,2,3,2,2,2,2,1,4,98,2,98,3,98,"timeTracker2_R13PAD6A",51
"1123",1008145,1,2,1,4,1,1,2,2,3,1,2,98,2,98,4,98,"timeTracker2_R13PAD6A",78
"1124",1008154,1,4,2,2,2,2,2,2,1,2,98,2,98,3,98,3,"timeTracker2_R13PAD6B",146
"1125",1008157,1,4,1,2,1,2,2,1,1,1,2,98,3,98,3,98,"timeTracker2_R13PAD6A",77
"1126",1008160,1,3,2,1,6,2,2,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",85
"1127",1008165,2,4,2,5,7,1,2,2,1,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",105
"1128",1008168,2,2,2,4,7,1,2,1,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",138
"1129",1008170,1,1,2,4,4,2,2,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",39
"1130",1008176,1,4,2,3,7,1,1,2,3,2,98,3,98,1,98,1,"timeTracker2_R13PAD6B",34
"1131",1008198,2,3,2,3,3,1,1,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",211
"1132",1008220,97,3,1,2,7,2,1,1,3,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",109
"1133",1008226,1,3,2,1,2,1,1,1,3,2,98,3,98,3,98,5,"timeTracker2_R13PAD6B",62
"1134",1008228,1,2,2,2,6,1,1,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",126
"1135",1008234,2,4,2,4,2,1,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",284
"1136",1008237,1,2,2,4,6,2,2,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",0
"1137",1008251,2,3,2,4,2,1,1,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",71
"1138",1008254,1,4,1,3,4,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",112
"1139",1008256,1,4,2,5,5,2,2,1,1,1,4,98,4,98,5,98,"timeTracker2_R13PAD6A",46
"1140",1008260,1,3,2,1,1,1,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",81
"1141",1008262,1,3,2,1,2,1,1,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",175
"1142",1008270,2,3,2,3,2,1,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",226
"1143",1008280,1,4,2,4,6,2,1,2,2,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",60
"1144",1008283,2,4,2,3,6,1,1,1,3,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",1828
"1145",1008291,1,3,2,1,4,1,2,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",70
"1146",1008293,2,4,2,3,1,1,2,1,3,1,4,98,4,98,3,98,"timeTracker2_R13PAD6A",98
"1147",1008298,1,2,2,1,4,1,2,1,3,1,2,98,5,98,3,98,"timeTracker2_R13PAD6A",113
"1148",1008320,1,3,2,1,4,1,1,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",60
"1149",1008340,1,4,2,4,6,1,1,1,2,2,98,2,98,3,98,4,"timeTracker2_R13PAD6B",79
"1150",1008344,1,4,2,1,7,2,2,1,3,1,3,98,2,98,3,98,"timeTracker2_R13PAD6A",137
"1151",1008352,1,4,2,2,1,2,2,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",93
"1152",1008357,1,1,1,2,2,1,1,1,1,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",63
"1153",1008363,1,4,1,4,1,1,1,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",54
"1154",1008368,1,3,2,3,2,1,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",110
"1155",1008369,97,4,1,3,7,1,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",158
"1156",1008387,1,4,2,2,1,1,1,1,2,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",61
"1157",1008394,1,3,1,4,4,2,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",119
